elevation,timestamp,ActivityName,ActivityType,rec_id,year,trajID,distance,time_diff,speed,speed_kmh,acceleration,avg_speed_10s,avg_speed_60s,max_speed_10s,avg_acc_10s,avg_acc_60s,max_acc_10s,el_change,d_direct10,d_sinu10,sinuosity,kmeans4,kmeans5,geometry,c_ward_4,c_single_4,c_compl_4,x,y
405.4,2024-05-20T13:24:42Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,5.158770398182585,1,5.158770398182585,18.571573433457306,-1.3576176070721573,16.602231415356652,12.592433873674993,45.156575568986035,-0.427895849658831,-0.09557955660546877,5.891225961316865,0,43.04192215993596,44.45181925810264,1.032756369311941,2,3,"c(2681084.9597999, 1249329.9042447)",3,1,1,2681084.959799898,1249329.9042446986
405.4,2024-05-20T13:24:43Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,3.469379337316705,1,3.469379337316705,12.489765614340138,-1.6893910608658804,14.497899830748073,12.232098815412,45.156575568986035,-0.5233932627519555,-0.0890672328247983,5.891225961316865,0,30.905676344513285,32.13069123270401,1.0396372133887373,2,3,"c(2681079.95875193, 1249331.17011645)",2,1,1,2681079.9587519336,1249331.170116446
405.4,2024-05-20T13:24:44Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,1.4090053141694368,1,1.4090053141694368,5.072419131009973,-2.060374023147268,10.436740883467007,11.864493405409611,23.458996818917072,-1.0669564190498693,-0.0910867749746299,0.3911357670817912,-0.10000000000002274,24.42191815559595,25.823264794078877,1.0573806950606714,4,5,"c(2681076.69565379, 1249332.34858303)",2,1,1,2681076.6956537883,1249332.3485830259
405.4,2024-05-20T13:24:45Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,1.7201984222015234,1,1.7201984222015234,6.192714319925485,0.31119310803208666,8.353218293739664,11.512831769030901,23.458996818917072,-0.5176129863960568,-0.08665794896805291,0.3911357670817912,-0.10000000000002274,18.322788572817327,19.773516400612596,1.0791761484355875,4,5,"c(2681076.22441639, 1249333.67645022)",2,1,1,2681076.2244163896,1249333.6764502216
405.4,2024-05-20T13:24:47Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.7500921491620346,2,0.3750460745810173,1.3501658684916622,-0.672576173810253,6.384977319570314,11.127255880093816,23.458996818917072,-0.4855903154077257,-0.09607857467871243,0.3911357670817912,-0.10000000000002274,11.940888556426511,13.36831099023557,1.1195407215354027,4,5,"c(2681074.62985593, 1249334.32178699)",2,1,1,2681074.629855928,1249334.321786991
405.4,2024-05-20T13:24:48Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.3174173111618799,1,0.3174173111618799,1.1427023201827675,-0.05762876341913742,4.252341245123308,10.766737869310013,18.571573433457306,-0.5312556210404081,-0.08911805296946752,0.31119310803208666,-0.10000000000002274,6.855583114343803,8.209540592052985,1.1974970553381992,3,2,"c(2681074.03196716, 1249333.86883308)",2,1,1,2681074.0319671566,1249333.868833076
405.4,2024-05-20T13:24:49Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.2223651882086028,1,0.2223651882086028,0.80051467755097,-0.09505212295327709,2.5640163875362805,10.420534214814236,12.489765614340138,-0.40783583857930295,-0.08514184288946049,0.31119310803208666,-0.10000000000002274,3.3976754750472478,4.74016125473628,1.3951188951235443,3,2,"c(2681073.80243415, 1249334.08807803)",2,1,1,2681073.802434151,1249334.0880780276
405.4,2024-05-20T13:24:50Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.1343964302484153,1,0.1343964302484153,0.48382714889429507,-0.0879687579601875,1.4285831498689952,10.195731374308012,6.192714319925485,-0.2542548330460411,-0.0514193945590289,0.31119310803208666,0,2.5767433775893176,3.331155940566843,1.2927775305600355,3,2,"c(2681073.80547683, 1249333.86573366)",2,1,1,2681073.8054768327,1249333.8657336573
405.4,2024-05-20T13:24:51Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.07550384470667126,1,0.07550384470667126,0.27181384094401656,-0.058892585541744036,0.9674541379589976,9.926511332750175,6.192714319925485,-0.0669481036690167,-0.06375750596225468,0.31119310803208666,0,1.0776016776951611,1.6109575183653198,1.4949471142351336,3,2,"c(2681073.7315014, 1249333.75352833)",2,1,1,2681073.731501397,1249333.7535283302
405.4,2024-05-20T13:24:52Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.11118259487771592,1,0.11118259487771592,0.4002573415597773,0.03567875017104466,0.40448010887486263,9.653366839702047,1.3501658684916622,-0.09523838621738821,-0.06484763137622467,0.03567875017104466,0,0.3775192166414815,0.8608653692032852,2.2803219843000013,3,2,"c(2681073.65600462, 1249333.75249519)",2,1,1,2681073.656004621,1249333.752495192
405.4,2024-05-20T13:24:53Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,-0.11118259487771592,0.2817377571938024,9.581241242533503,1.1427023201827675,-0.03409509768918339,-0.009009049187451216,0.03567875017104466,0,0.2687928550093009,0.5434480580414053,2.021809910172652,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
405.4,2024-05-20T13:24:54Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,0,0.1778557280862781,9.384058488535391,0.80051467755097,-0.028856119196534535,-0.043747148306775625,0.03567875017104466,0,0.15100768665786696,0.3210828698328025,2.126268383676847,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
405.4,2024-05-20T13:24:55Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,0,0.309619213831865,9.313503088346968,2.2499130207524263,0.03660096826266304,-0.008572883359639703,0.6249758390978962,0,0.13439642736535765,0.8116622786822834,6.03931439692049,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
